Name,Type,Rarity,BaseAttack
lf's Gravestone,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/4/4f/Weapon_Wolf%27s_Gravestone.png,5,46,Base ATK,Wolfish Tracker
Lion's Roar,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/e/e6/Weapon_Lion%27s_Roar.png,4,42,ATK,Bane of Fire and Thunder
Lithic Blade,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/3/3a/Weapon_Lithic_Blade.png,4,41,CRIT DMG,Lithic Axiom - Unity
Lithic Spear,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/2/2a/Weapon_Lithic_Spear.png,4,42,Physical DMG Bonus,Lithic Axiom - Subjugating Evil
Lost Prayer to the Sacred Winds,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/9/98/Weapon_Lost_Prayer_to_the_Sacred_Winds.png,5,46,CRIT Rate,Boundless Blessing
Magic Guide,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/3/39/Weapon_Magic_Guide.png,3,38,Elemental Mastery,Bane of Storm and Tide
Mappa Mare,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/4/4d/Weapon_Mappa_Mare.png,4,44,Elemental Mastery,Infusion Scroll
Messenger,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/3/38/Weapon_Messenger.png,3,40,CRIT DMG,Archer's Message
Old Merc's Pal,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/0/0b/Weapon_Old_Merc%27s_Pal.png,2,33,None,None
Otherworldly Story,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/1/11/Weapon_Otherworldly_Story.png,3,39,Energy Recharge,Energy Shower
Pocket Grimoire,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/1/16/Weapon_Pocket_Grimoire.png,2,33,None,None
Primordial Jade Winged-Spear,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/8/80/Weapon_Primordial_Jade_Winged-Spear.png,5,48,CRIT Rate,Eagle Spear of Justice
Prototype Aminus,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/6/68/Weapon_Prototype_Aminus.png,4,44,Base ATK,Crush
Prototype Crescent,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/4/43/Weapon_Prototype_Crescent.png,4,42,ATK,Unreturning
Prototype Grudge,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/7/7a/Weapon_Prototype_Grudge.png,4,42,Energy Recharge,Magic Affinity
Prototype Malice,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/3/32/Weapon_Prototype_Malice.png,4,41,Base HP,Golden Plating
Prototype Rancour,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/e/ef/Weapon_Prototype_Rancour.png,4,44,Physical DMG Bonus,Smashed Stone
Quartz,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/7/71/Weapon_Quartz.png,3,40,Elemental Mastery,Residual Heat
Rainslasher,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/d/d4/Weapon_Rainslasher.png,4,42,Elemental Mastery,Bane of Storm and Tide
Raven Bow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/d/d0/Weapon_Raven_Bow.png,3,40,Elemental Mastery,Bane of Flame and Water
Recurve Bow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/b/b5/Weapon_Recurve_Bow.png,3,38,Base HP,Cull the Weak
Royal Bow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/9/99/Weapon_Royal_Bow.png,4,42,ATK,Focus
Royal Greatsword,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/b/bf/Weapon_Royal_Greatsword.png,4,44,Base ATK,Focus
Royal Grimoire,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/9/99/Weapon_Royal_Grimoire.png,4,44,Base ATK,Energy Blast
Royal Longsword,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/c/cd/Weapon_Royal_Longsword.png,4,42,Base ATK,Focus
Rust,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/1/1c/Weapon_Rust.png,4,42,Base ATK,Rapid Firing
Sacrificial Bow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/e/ec/Weapon_Sacrificial_Bow.png,4,43,Energy Recharge,Composed
Sacrificial Fragments,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/6/6c/Weapon_Sacrificial_Fragments.png,4,41,Elemental Mastery,Composed
Sacrificial Greatsword,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/1/17/Weapon_Sacrificial_Greatsword.png,4,44,Energy Recharge,Composed
Sacrificial Sword,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/a/a0/Weapon_Sacrificial_Sword.png,4,41,Energy Recharge,Composed
Seasoned Hunter's Bow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/8/82/Weapon_Seasoned_Hunter%27s_Bow.png,2,33,None,None
Serpent Spine,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/8/88/Weapon_Serpent_Spine.png,4,42,CRIT Rate,Wavesplitter
Sharpshooter's Oath,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/5/52/Weapon_Sharpshooter%27s_Oath.png,3,39,CRIT DMG,Precise
Silver Sword,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/3/32/Weapon_Silver_Sword.png,2,33,None,None
Skyrider Greatsword,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/6/6e/Weapon_Skyrider_Greatsword.png,3,39,Physical DMG Bonus,Courage
Skyrider Sword,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/3/34/Weapon_Skyrider_Sword.png,3,38,Energy Recharge,Determination
Skyward Atlas,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/3/33/Weapon_Skyward_Atlas.png,5,48,Base ATK,Wandering Clouds
Skyward Blade,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/0/03/Weapon_Skyward_Blade.png,5,46,Energy Recharge,Sky-Piercing Fang
Skyward Harp,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/1/19/Weapon_Skyward_Harp.png,5,45,CRIT Rate,Echoing Ballad
Skyward Pride,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/0/0b/Weapon_Skyward_Pride.png,5,48,Energy Recharge,Sky-ripping Dragon Spine
Slingshot,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/c/ca/Weapon_Slingshot.png,3,38,CRIT Rate,Slingshot
Solar Pearl,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/f/fc/Weapon_Solar_Pearl.png,4,42,CRIT Rate,Solar Shine
Sword of Descension,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/1/17/Weapon_Sword_of_Descension.png,4,39,ATK,Descension
The Alley Flash,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/8/83/Weapon_The_Alley_Flash.png,4,44,CRIT Rate,Itinerant Hero
The Bell,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/6/6e/Weapon_The_Bell.png,4,42,Energy Recharge,Rebellious Guardian
The Black Sword,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/c/cf/Weapon_The_Black_Sword.png,4,42,CRIT Rate,Justice
The Flute,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/6/63/Weapon_The_Flute.png,4,42,Base ATK,Chord
The Stringless,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/7/71/Weapon_The_Stringless.png,4,42,Elemental Mastery,Arrowless Song
The Viridescent Hunt,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/f/ff/Weapon_The_Viridescent_Hunt.png,4,42,CRIT Rate,Verdant Wind
The Widsith,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/f/f0/Weapon_The_Widsith.png,4,42,CRIT DMG,Debut
Thrilling Tales of Dragon Slayers,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/1/19/Weapon_Thrilling_Tales_of_Dragon_Slayers.png,3,39,Base HP,Legacy
Traveler's Handy Sword,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/c/c9/Weapon_Traveler%27s_Handy_Sword.png,3,40,DEF,Journey
Twin Nephrite,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/e/e3/Weapon_Twin_Nephrite.png,3,40,CRIT Rate,Guerilla Tactic
unwu's Iris Rift,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/9/93/Weapon_Kunwu%27s_Iris_Rift.png,5,46,Base ATK,Rainbow-Piercing Stinger
Waster Greatsword,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/4/4c/Weapon_Waster_Greatsword.png,1,23,None,None
White Iron Greatsword,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/5/56/Weapon_White_Iron_Greatsword.png,3,39,DEF,Cull the Weak
White Tassel,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/1/1f/Weapon_White_Tassel.png,3,39,CRIT Rate,Sharp
Whiteblind,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/0/04/Weapon_Whiteblind.png,4,42,Base DEF,Infusion Blade
Wine and Song,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/c/c6/Weapon_Wine_and_Song.png,4,42,Energy Recharge,Wind in the Square
AAAAAAA,Polearm,,3,69,420,8008135
